epoch  test_loss    filename
109    -7.607578    gpu0_109_-7.607578_net_detector.pth
110    -7.53086     gpu0_110_-7.530860_net_detector.pth
111    -7.610784    gpu0_111_-7.610784_net_detector.pth
112    -7.618951    gpu0_112_-7.618951_net_detector.pth
113    -7.643429    gpu0_113_-7.643429_net_detector.pth
114    -7.650835    gpu0_114_-7.650835_net_detector.pth
115    -7.650353    gpu0_115_-7.650353_net_detector.pth
116    -7.597692    gpu0_116_-7.597692_net_detector.pth
117    -7.670676    gpu0_117_-7.670676_net_detector.pth
118    -7.536313    gpu0_118_-7.536313_net_detector.pth
119    -7.582655    gpu0_119_-7.582655_net_detector.pth
120    -7.587545    gpu0_120_-7.587545_net_detector.pth
121    -7.673381    gpu0_121_-7.673381_net_detector.pth
122    -7.687983    gpu0_122_-7.687983_net_detector.pth
123    -7.649162    gpu0_123_-7.649162_net_detector.pth
124    -7.670281    gpu0_124_-7.670281_net_detector.pth
125    -7.672161    gpu0_125_-7.672161_net_detector.pth
126    -7.659231    gpu0_126_-7.659231_net_detector.pth
127    -7.683916    gpu0_127_-7.683916_net_detector.pth
128    -7.698401    gpu0_128_-7.698401_net_detector.pth
129    -7.709529    gpu0_129_-7.709529_net_detector.pth
130    -7.704163    gpu0_130_-7.704163_net_detector.pth
131    -7.689699    gpu0_131_-7.689699_net_detector.pth
132    -7.714585    gpu0_132_-7.714585_net_detector.pth
133    -7.705513    gpu0_133_-7.705513_net_detector.pth
134    -7.662161    gpu0_134_-7.662161_net_detector.pth
135    -7.694848    gpu0_135_-7.694848_net_detector.pth
136    -7.676341    gpu0_136_-7.676341_net_detector.pth
137    -7.657469    gpu0_137_-7.657469_net_detector.pth
138    -7.718158    gpu0_138_-7.718158_net_detector.pth
139    -7.684417    gpu0_139_-7.684417_net_detector.pth
140    -7.572399    gpu0_140_-7.572399_net_detector.pth
141    -7.677515    gpu0_141_-7.677515_net_detector.pth
142    -7.704105    gpu0_142_-7.704105_net_detector.pth
143    -7.723924    gpu0_143_-7.723924_net_detector.pth
144    -7.69164     gpu0_144_-7.691640_net_detector.pth
145    -7.668612    gpu0_145_-7.668612_net_detector.pth
146    -7.707088    gpu0_146_-7.707088_net_detector.pth
147    -7.69623     gpu0_147_-7.696230_net_detector.pth
148    -7.733205    gpu0_148_-7.733205_net_detector.pth
149    -7.710386    gpu0_149_-7.710386_net_detector.pth
150    -7.732487    gpu0_150_-7.732487_net_detector.pth
151    -7.702434    gpu0_151_-7.702434_net_detector.pth
152    -7.728957    gpu0_152_-7.728957_net_detector.pth
153    -7.707287    gpu0_153_-7.707287_net_detector.pth
154    -7.698601    gpu0_154_-7.698601_net_detector.pth
155    -7.714891    gpu0_155_-7.714891_net_detector.pth
156    -7.667174    gpu0_156_-7.667174_net_detector.pth
157    -7.674123    gpu0_157_-7.674123_net_detector.pth
158    -7.672542    gpu0_158_-7.672542_net_detector.pth
159    -7.714233    gpu0_159_-7.714233_net_detector.pth
160    -7.680855    gpu0_160_-7.680855_net_detector.pth
161    -7.72912     gpu0_161_-7.729120_net_detector.pth
162    -7.73117     gpu0_162_-7.731170_net_detector.pth
163    -7.732189    gpu0_163_-7.732189_net_detector.pth
164    -7.736845    gpu0_164_-7.736845_net_detector.pth
165    -7.753814    gpu0_165_-7.753814_net_detector.pth
166    -7.752379    gpu0_166_-7.752379_net_detector.pth
167    -7.741095    gpu0_167_-7.741095_net_detector.pth
168    -7.73218     gpu0_168_-7.732180_net_detector.pth
169    -7.710364    gpu0_169_-7.710364_net_detector.pth
170    -7.712388    gpu0_170_-7.712388_net_detector.pth
171    -7.733587    gpu0_171_-7.733587_net_detector.pth
172    -7.752956    gpu0_172_-7.752956_net_detector.pth
173    -7.707426    gpu0_173_-7.707426_net_detector.pth
174    -7.763705    gpu0_174_-7.763705_net_detector.pth
175    -7.70951     gpu0_175_-7.709510_net_detector.pth
176    -7.748962    gpu0_176_-7.748962_net_detector.pth
177    -7.727865    gpu0_177_-7.727865_net_detector.pth
178    -7.71829     gpu0_178_-7.718290_net_detector.pth
179    -7.740148    gpu0_179_-7.740148_net_detector.pth
180    -7.735732    gpu0_180_-7.735732_net_detector.pth
181    -7.740235    gpu0_181_-7.740235_net_detector.pth
182    -7.723948    gpu0_182_-7.723948_net_detector.pth
183    -7.732735    gpu0_183_-7.732735_net_detector.pth
184    -7.74747     gpu0_184_-7.747470_net_detector.pth
185    -7.744372    gpu0_185_-7.744372_net_detector.pth
186    -7.72884     gpu0_186_-7.728840_net_detector.pth
187    -7.711905    gpu0_187_-7.711905_net_detector.pth
188    -7.73981     gpu0_188_-7.739810_net_detector.pth
189    -7.742522    gpu0_189_-7.742522_net_detector.pth
190    -7.734312    gpu0_190_-7.734312_net_detector.pth
191    -7.73086     gpu0_191_-7.730860_net_detector.pth
192    -7.718024    gpu0_192_-7.718024_net_detector.pth
193    -7.75812     gpu0_193_-7.758120_net_detector.pth
194    -7.719307    gpu0_194_-7.719307_net_detector.pth
195    -7.742042    gpu0_195_-7.742042_net_detector.pth
196    -7.748633    gpu0_196_-7.748633_net_detector.pth
197    -7.754513    gpu0_197_-7.754513_net_detector.pth
198    -7.770243    gpu0_198_-7.770243_net_detector.pth
199    -7.758018    gpu0_199_-7.758018_net_detector.pth
200    -7.681827    gpu0_200_-7.681827_net_detector.pth
201    -7.711495    gpu0_201_-7.711495_net_detector.pth
202    -7.698997    gpu0_202_-7.698997_net_detector.pth
203    -7.762951    gpu0_203_-7.762951_net_detector.pth
204    -7.715994    gpu0_204_-7.715994_net_detector.pth
205    -7.772838    gpu0_205_-7.772838_net_detector.pth
206    -7.695757    gpu0_206_-7.695757_net_detector.pth
207    -7.697466    gpu0_207_-7.697466_net_detector.pth
208    -7.649152    gpu0_208_-7.649152_net_detector.pth
209    -7.747243    gpu0_209_-7.747243_net_detector.pth
210    -7.761456    gpu0_210_-7.761456_net_detector.pth
211    -7.776611    gpu0_211_-7.776611_net_detector.pth
212    -7.709472    gpu0_212_-7.709472_net_detector.pth
213    -7.764756    gpu0_213_-7.764756_net_detector.pth
214    -7.763221    gpu0_214_-7.763221_net_detector.pth
215    -7.713516    gpu0_215_-7.713516_net_detector.pth
216    -7.751598    gpu0_216_-7.751598_net_detector.pth
217    -7.760571    gpu0_217_-7.760571_net_detector.pth
218    -7.751335    gpu0_218_-7.751335_net_detector.pth
219    -7.757053    gpu0_219_-7.757053_net_detector.pth
220    -7.738964    gpu0_220_-7.738964_net_detector.pth
221    -7.742483    gpu0_221_-7.742483_net_detector.pth
222    -7.735807    gpu0_222_-7.735807_net_detector.pth
223    -7.755834    gpu0_223_-7.755834_net_detector.pth
224    -7.742504    gpu0_224_-7.742504_net_detector.pth
225    -7.725405    gpu0_225_-7.725405_net_detector.pth
226    -7.75938     gpu0_226_-7.759380_net_detector.pth
227    -7.740021    gpu0_227_-7.740021_net_detector.pth
228    -7.765971    gpu0_228_-7.765971_net_detector.pth
229    -7.74887     gpu0_229_-7.748870_net_detector.pth
230    -7.749295    gpu0_230_-7.749295_net_detector.pth
231    -7.74917     gpu0_231_-7.749170_net_detector.pth
232    -7.762121    gpu0_232_-7.762121_net_detector.pth
233    -7.766817    gpu0_233_-7.766817_net_detector.pth
234    -7.685108    gpu0_234_-7.685108_net_detector.pth
235    -7.765321    gpu0_235_-7.765321_net_detector.pth
236    -7.756709    gpu0_236_-7.756709_net_detector.pth
237    -7.748655    gpu0_237_-7.748655_net_detector.pth
238    -7.758836    gpu0_238_-7.758836_net_detector.pth
239    -7.762269    gpu0_239_-7.762269_net_detector.pth
240    -7.735492    gpu0_240_-7.735492_net_detector.pth
241    -7.775053    gpu0_241_-7.775053_net_detector.pth
242    -7.718556    gpu0_242_-7.718556_net_detector.pth
243    -7.769918    gpu0_243_-7.769918_net_detector.pth
244    -7.736917    gpu0_244_-7.736917_net_detector.pth
245    -7.765497    gpu0_245_-7.765497_net_detector.pth
246    -7.742742    gpu0_246_-7.742742_net_detector.pth
247    -7.786925    gpu0_247_-7.786925_net_detector.pth
248    -7.76359     gpu0_248_-7.763590_net_detector.pth
249    -7.749431    gpu0_249_-7.749431_net_detector.pth
250    -7.755777    gpu0_250_-7.755777_net_detector.pth
251    -7.733286    gpu0_251_-7.733286_net_detector.pth
252    -7.767127    gpu0_252_-7.767127_net_detector.pth
253    -7.765714    gpu0_253_-7.765714_net_detector.pth
254    -7.763062    gpu0_254_-7.763062_net_detector.pth
255    -7.780795    gpu0_255_-7.780795_net_detector.pth
256    -7.783544    gpu0_256_-7.783544_net_detector.pth
257    -7.773507    gpu0_257_-7.773507_net_detector.pth
258    -7.750312    gpu0_258_-7.750312_net_detector.pth
259    -7.68855     gpu0_259_-7.688550_net_detector.pth
260    -7.792997    gpu0_260_-7.792997_net_detector.pth
261    -7.714839    gpu0_261_-7.714839_net_detector.pth
262    -7.762895    gpu0_262_-7.762895_net_detector.pth
263    -7.736613    gpu0_263_-7.736613_net_detector.pth
264    -7.761905    gpu0_264_-7.761905_net_detector.pth
265    -7.785863    gpu0_265_-7.785863_net_detector.pth
266    -7.755869    gpu0_266_-7.755869_net_detector.pth
267    -7.774198    gpu0_267_-7.774198_net_detector.pth
268    -7.76664     gpu0_268_-7.766640_net_detector.pth
269    -7.760415    gpu0_269_-7.760415_net_detector.pth
270    -7.718245    gpu0_270_-7.718245_net_detector.pth
271    -7.769769    gpu0_271_-7.769769_net_detector.pth
272    -7.779737    gpu0_272_-7.779737_net_detector.pth
273    -7.745375    gpu0_273_-7.745375_net_detector.pth
274    -7.776861    gpu0_274_-7.776861_net_detector.pth
275    -7.762551    gpu0_275_-7.762551_net_detector.pth
276    -7.771714    gpu0_276_-7.771714_net_detector.pth
277    -7.791311    gpu0_277_-7.791311_net_detector.pth
278    -7.758678    gpu0_278_-7.758678_net_detector.pth
279    -7.761788    gpu0_279_-7.761788_net_detector.pth
280    -7.78503     gpu0_280_-7.785030_net_detector.pth
281    -7.758614    gpu0_281_-7.758614_net_detector.pth
282    -7.774962    gpu0_282_-7.774962_net_detector.pth
283    -7.764509    gpu0_283_-7.764509_net_detector.pth
284    -7.7658      gpu0_284_-7.765800_net_detector.pth
285    -7.801909    gpu0_285_-7.801909_net_detector.pth
286    -7.74738     gpu0_286_-7.747380_net_detector.pth
287    -7.748738    gpu0_287_-7.748738_net_detector.pth
288    -7.78591     gpu0_288_-7.785910_net_detector.pth
289    -7.78843     gpu0_289_-7.788430_net_detector.pth
290    -7.778172    gpu0_290_-7.778172_net_detector.pth
291    -7.781802    gpu0_291_-7.781802_net_detector.pth
292    -7.769207    gpu0_292_-7.769207_net_detector.pth
293    -7.762524    gpu0_293_-7.762524_net_detector.pth
294    -7.72701     gpu0_294_-7.727010_net_detector.pth
295    -7.784697    gpu0_295_-7.784697_net_detector.pth
296    -7.763193    gpu0_296_-7.763193_net_detector.pth
297    -7.765025    gpu0_297_-7.765025_net_detector.pth
298    -7.761219    gpu0_298_-7.761219_net_detector.pth
299    -7.792273    gpu0_299_-7.792273_net_detector.pth
300    -7.778111    gpu0_300_-7.778111_net_detector.pth
352    -6.949864    gpu0_352_-6.949864_net_detector.pth
490    -7.03599     gpu0_490_-7.035990_net_detector.pth

============================================================
✅ 最优模型（loss 最小）：
epoch: 285
train_loss: -7.801909
filename: gpu0_285_-7.801909_net_detector.pth
