epoch  test_loss    filename
------------------------------------------------------------
0      -4.838463    gpu0_0_-4.838463_net_detector.pth
1      -4.962924    gpu0_1_-4.962924_net_detector.pth
2      -5.117672    gpu0_2_-5.117672_net_detector.pth
3      -5.452775    gpu0_3_-5.452775_net_detector.pth
4      -5.351866    gpu0_4_-5.351866_net_detector.pth
5      -5.62074     gpu0_5_-5.620740_net_detector.pth
6      -5.757862    gpu0_6_-5.757862_net_detector.pth
7      -5.573477    gpu0_7_-5.573477_net_detector.pth
8      -5.734771    gpu0_8_-5.734771_net_detector.pth
9      -5.912617    gpu0_9_-5.912617_net_detector.pth
10     -5.843131    gpu0_10_-5.843131_net_detector.pth
11     -6.034265    gpu0_11_-6.034265_net_detector.pth
12     -5.995056    gpu0_12_-5.995056_net_detector.pth
13     -5.931256    gpu0_13_-5.931256_net_detector.pth
14     -5.885684    gpu0_14_-5.885684_net_detector.pth
15     -6.033597    gpu0_15_-6.033597_net_detector.pth
16     -6.223802    gpu0_16_-6.223802_net_detector.pth
17     -6.130532    gpu0_17_-6.130532_net_detector.pth
18     -6.189896    gpu0_18_-6.189896_net_detector.pth
19     -6.138856    gpu0_19_-6.138856_net_detector.pth
20     -6.313795    gpu0_20_-6.313795_net_detector.pth
21     -6.317813    gpu0_21_-6.317813_net_detector.pth
22     -6.302042    gpu0_22_-6.302042_net_detector.pth
23     -6.337641    gpu0_23_-6.337641_net_detector.pth
24     -6.360579    gpu0_24_-6.360579_net_detector.pth
25     -6.134444    gpu0_25_-6.134444_net_detector.pth
26     -6.403821    gpu0_26_-6.403821_net_detector.pth
27     -6.379618    gpu0_27_-6.379618_net_detector.pth
28     -6.176417    gpu0_28_-6.176417_net_detector.pth
29     -6.215974    gpu0_29_-6.215974_net_detector.pth
30     -6.25144     gpu0_30_-6.251440_net_detector.pth
31     -6.454364    gpu0_31_-6.454364_net_detector.pth
32     -6.403563    gpu0_32_-6.403563_net_detector.pth
33     -6.285864    gpu0_33_-6.285864_net_detector.pth
34     -6.489025    gpu0_34_-6.489025_net_detector.pth
35     -6.318131    gpu0_35_-6.318131_net_detector.pth
36     -6.487768    gpu0_36_-6.487768_net_detector.pth
37     -6.408264    gpu0_37_-6.408264_net_detector.pth
38     -6.300201    gpu0_38_-6.300201_net_detector.pth
39     -6.498618    gpu0_39_-6.498618_net_detector.pth
40     -6.511568    gpu0_40_-6.511568_net_detector.pth
41     -6.50455     gpu0_41_-6.504550_net_detector.pth
42     -6.608099    gpu0_42_-6.608099_net_detector.pth
43     -6.481177    gpu0_43_-6.481177_net_detector.pth
44     -6.650855    gpu0_44_-6.650855_net_detector.pth
45     -6.664047    gpu0_45_-6.664047_net_detector.pth
46     -6.693767    gpu0_46_-6.693767_net_detector.pth
47     -6.709404    gpu0_47_-6.709404_net_detector.pth
48     -6.678165    gpu0_48_-6.678165_net_detector.pth
49     -6.684243    gpu0_49_-6.684243_net_detector.pth
50     -6.681752    gpu0_50_-6.681752_net_detector.pth
51     -6.616556    gpu0_51_-6.616556_net_detector.pth
52     -6.511155    gpu0_52_-6.511155_net_detector.pth
53     -6.665693    gpu0_53_-6.665693_net_detector.pth
54     -6.703954    gpu0_54_-6.703954_net_detector.pth
55     -6.560559    gpu0_55_-6.560559_net_detector.pth
56     -6.578011    gpu0_56_-6.578011_net_detector.pth
