epoch  test_loss    filename
------------------------------------------------------------
0      -4.953515    gpu0_0_-4.953515_net_detector.pth
1      -4.883973    gpu0_1_-4.883973_net_detector.pth
2      -5.275954    gpu0_2_-5.275954_net_detector.pth
3      -5.44549     gpu0_3_-5.445490_net_detector.pth
4      -5.573598    gpu0_4_-5.573598_net_detector.pth
5      -5.724387    gpu0_5_-5.724387_net_detector.pth
6      -5.688754    gpu0_6_-5.688754_net_detector.pth
7      -5.850008    gpu0_7_-5.850008_net_detector.pth
8      -5.622987    gpu0_8_-5.622987_net_detector.pth
9      -5.86128     gpu0_9_-5.861280_net_detector.pth
10     -5.981349    gpu0_10_-5.981349_net_detector.pth
11     -6.04938     gpu0_11_-6.049380_net_detector.pth
12     -5.949561    gpu0_12_-5.949561_net_detector.pth
13     -6.010573    gpu0_13_-6.010573_net_detector.pth
14     -5.94054     gpu0_14_-5.940540_net_detector.pth
15     -6.119184    gpu0_15_-6.119184_net_detector.pth
16     -6.179533    gpu0_16_-6.179533_net_detector.pth
17     -6.117129    gpu0_17_-6.117129_net_detector.pth
18     -6.218783    gpu0_18_-6.218783_net_detector.pth
19     -6.151526    gpu0_19_-6.151526_net_detector.pth
20     -5.607614    gpu0_20_-5.607614_net_detector.pth
21     -6.108578    gpu0_21_-6.108578_net_detector.pth
22     -6.18561     gpu0_22_-6.185610_net_detector.pth
23     -6.15341     gpu0_23_-6.153410_net_detector.pth
24     -6.181965    gpu0_24_-6.181965_net_detector.pth
25     -6.077012    gpu0_25_-6.077012_net_detector.pth
26     -6.169076    gpu0_26_-6.169076_net_detector.pth
27     -6.099782    gpu0_27_-6.099782_net_detector.pth
28     -6.019521    gpu0_28_-6.019521_net_detector.pth
29     -6.292723    gpu0_29_-6.292723_net_detector.pth
30     -6.041821    gpu0_30_-6.041821_net_detector.pth
31     -5.486373    gpu0_31_-5.486373_net_detector.pth
32     -4.652649    gpu0_32_-4.652649_net_detector.pth
33     -6.234155    gpu0_33_-6.234155_net_detector.pth
34     -6.15041     gpu0_34_-6.150410_net_detector.pth
35     -6.226357    gpu0_35_-6.226357_net_detector.pth
36     -6.237834    gpu0_36_-6.237834_net_detector.pth
37     -6.296367    gpu0_37_-6.296367_net_detector.pth
38     -6.297583    gpu0_38_-6.297583_net_detector.pth
39     -6.194431    gpu0_39_-6.194431_net_detector.pth
40     -6.426951    gpu0_40_-6.426951_net_detector.pth
41     -6.482243    gpu0_41_-6.482243_net_detector.pth
42     -6.50436     gpu0_42_-6.504360_net_detector.pth
43     -6.525933    gpu0_43_-6.525933_net_detector.pth
44     -6.483281    gpu0_44_-6.483281_net_detector.pth
45     -6.559204    gpu0_45_-6.559204_net_detector.pth
46     -6.428921    gpu0_46_-6.428921_net_detector.pth
47     -6.548866    gpu0_47_-6.548866_net_detector.pth
48     -6.576781    gpu0_48_-6.576781_net_detector.pth
49     -6.431448    gpu0_49_-6.431448_net_detector.pth
